200.0,16.0,300.0,9.0e+11,5e+23,0.008676528701514023,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,300.0,9.0e+11,5e+24,0.00873296046223161,4566666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,400.0,9.0e+11,1e+24,0.008891454986992283,6333333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,400.0,9.0e+11,1e+25,0.013061524298258657,1200000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,400.0,9.0e+11,5e+23,0.008017036853510578,2066666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,400.0,9.0e+11,5e+24,0.009181619249834256,8083333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,500.0,9.0e+11,1e+24,0.009857336743233082,2150000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,500.0,9.0e+11,1e+25,0.013184107723062352,1216666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,500.0,9.0e+11,5e+23,0.011437050359151114,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,500.0,9.0e+11,5e+24,0.014011145910013048,4666666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,300.0,9.0e+11,1e+24,0.006365045528632595,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,300.0,9.0e+11,1e+25,0.00977726687114264,4716666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,300.0,9.0e+11,5e+23,0.007477980483497617,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,300.0,9.0e+11,5e+24,0.009039336620811269,383333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,400.0,9.0e+11,1e+24,0.008617364190986241,2116666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,400.0,9.0e+11,1e+25,0.010447197713466546,4816666666666.666
