Wo,Vds,Temp,Nd,Mod index
200,31,500,1e+24,0.015849192
200,31,500,5e+24,0.017493568
200,31,500,1e+25,0.016469355
200,32,300,5e+23,0.014917441
200,32,300,1e+24,0.013732173
200,32,300,5e+24,0.014788906
200,32,300,1e+25,0.017582574
200,32,400,5e+23,0.013515054
200,32,400,1e+24,0.016541848
200,32,400,5e+24,0.016615481
200,32,400,1e+25,0.015309008
200,32,500,5e+23,0.014230773
200,32,500,1e+24,0.016133653
200,32,500,5e+24,0.017798106
200,32,500,1e+25,0.015581554
200,33,300,5e+23,0.015743648
200,33,300,1e+24,0.012871405
200,33,300,5e+24,0.013690781
200,33,300,1e+25,0.017322418
200,33,400,5e+23,0.014569623
200,33,400,1e+24,0.013911647
200,33,400,5e+24,0.015980277
200,33,400,1e+25,0.015570463
200,33,500,5e+23,0.016431325
200,33,500,1e+24,0.01488337
200,33,500,5e+24,0.018288884
200,33,500,1e+25,0.017997738
200,34,300,5e+23,0.014624621
200,34,300,1e+24,0.015634823
200,34,300,5e+24,0.01596334
200,34,300,1e+25,0.02028418
200,34,400,5e+23,0.014956107
200,34,400,1e+24,0.01546116
200,34,400,5e+24,0.015297946
200,34,400,1e+25,0.016257888
200,34,500,5e+23,0.015188672
200,34,500,1e+24,0.016170877
200,34,500,5e+24,0.013139249
200,34,500,1e+25,0.018060135
200,35,300,5e+23,0.016949513
200,35,300,1e+24,0.013920482
200,35,300,5e+24,0.016180851
200,35,300,1e+25,0.102622206
200,35,400,5e+23,0.016470374
200,35,400,1e+24,0.016324321
200,35,400,5e+24,0.015465149
200,35,400,1e+25,0.016671818
200,35,500,5e+23,0.016279469
200,35,500,1e+24,0.016321267
200,35,500,5e+24,0.017216649
200,35,500,1e+25,0.019243323
200,36,300,5e+23,0.017070389
200,36,300,1e+24,0.017680143
200,36,300,5e+24,0.014550693
200,36,300,1e+25,0.154436968
200,36,400,5e+23,0.016045911
200,36,400,1e+24,0.01589682
200,36,400,5e+24,0.01703047
200,36,400,1e+25,0.016322012
200,36,500,5e+23,0.019234375
200,36,500,1e+24,0.016553413
200,36,500,5e+24,0.015659355
200,36,500,1e+25,0.017312842
200,37,300,5e+23,0.016717587
200,37,300,1e+24,0.017608986
200,37,300,5e+24,0.016911782
200,37,300,1e+25,0.385580972
200,37,400,5e+23,0.016458178
200,37,400,1e+24,0.015572032
200,37,400,5e+24,0.016936986
200,37,400,1e+25,0.01678947
200,37,500,5e+23,0.015419083
200,37,500,1e+24,0.015325767
200,37,500,5e+24,0.016586715
200,37,500,1e+25,0.018141137
200,38,300,5e+23,0.0182481
200,38,300,1e+24,0.019893335
200,38,300,5e+24,0.022760959
200,38,300,1e+25,0.768291631
200,38,400,5e+23,0.015315694
200,38,400,1e+24,0.017618295
200,38,400,5e+24,0.016715999
200,38,400,1e+25,0.017094726
200,38,500,5e+23,0.020696732
200,38,500,1e+24,0.016468706
200,38,500,5e+24,0.016659716
200,38,500,1e+25,0.01739655
200,39,300,5e+23,0.019339122
200,39,300,1e+24,0.020386228
200,39,300,5e+24,0.042622623
200,39,300,1e+25,0.444856963
200,39,400,5e+23,0.017502113
200,39,400,1e+24,0.016864141
200,39,400,5e+24,0.017420604
200,39,400,1e+25,0.371318535
200,39,500,5e+23,0.015913373
200,39,500,1e+24,0.018784456
200,39,500,5e+24,0.018956369
200,39,500,1e+25,0.016963045
200,40,300,5e+23,0.017309368
200,40,300,1e+24,0.022328245
200,40,300,5e+24,0.075221621
200,40,300,1e+25,0.304327046
200,40,400,5e+23,0.016462055
200,40,400,1e+24,0.019797771
200,40,400,5e+24,0.020703555
200,40,400,1e+25,0.428723056
200,40,500,5e+23,0.017173188
200,40,500,1e+24,0.019057943
200,40,500,5e+24,0.016757266
200,40,500,1e+25,0.016001861
200,41,300,5e+23,0.019434201
200,41,300,1e+24,0.027510567
200,41,300,5e+24,0.212202008
200,41,300,1e+25,0.311583016
200,41,400,5e+23,0.015882044
200,41,400,1e+24,0.020104419
200,41,400,5e+24,0.019421118
200,41,400,1e+25,0.489762683
200,41,500,5e+23,0.016223893
200,41,500,1e+24,0.017283103
200,41,500,5e+24,0.017346794
200,41,500,1e+25,0.019992801
200,42,300,5e+23,0.018764365
200,42,300,1e+24,0.0214255
200,42,300,5e+24,0.195446137
200,42,300,1e+25,0.850756033
200,42,400,5e+23,0.018836549
200,42,400,1e+24,0.022871644
200,42,400,5e+24,0.031789939
200,42,400,1e+25,0.80587817
200,42,500,5e+23,0.018473577
200,42,500,1e+24,0.020347937
200,42,500,5e+24,0.01744745
200,42,500,1e+25,0.017656682
200,43,300,5e+23,0.016626358
200,43,300,1e+24,0.025071246
200,43,300,5e+24,0.2424641
200,43,300,1e+25,0.656637262
200,43,400,5e+23,0.018545048
200,43,400,1e+24,0.027334949
200,43,400,5e+24,0.142090153
200,43,400,1e+25,0.822387519
200,43,500,5e+23,0.016658473
200,43,500,1e+24,0.021701246
200,43,500,5e+24,0.018567652
200,43,500,1e+25,0.075095083
200,44,300,5e+23,0.0168196
200,44,300,1e+24,0.02345682
200,44,300,5e+24,0.375622529
200,44,300,1e+25,0.545985834
200,44,400,5e+23,0.015527596
200,44,400,1e+24,0.025490975
200,44,400,5e+24,0.175369672
200,44,400,1e+25,0.839310738
200,44,500,5e+23,0.01752364
200,44,500,1e+24,0.020645503
200,44,500,5e+24,0.026553631
200,44,500,1e+25,0.241922302
200,45,300,5e+23,0.018171911
200,45,300,1e+24,0.02867537
200,45,300,5e+24,0.204402807
200,45,300,1e+25,0.891098525
200,45,400,5e+23,0.019091141
200,45,400,1e+24,0.028157779
200,45,400,5e+24,0.244587427
200,45,400,1e+25,0.635624366
200,45,500,5e+23,0.020998539
200,45,500,1e+24,0.023322927
200,45,500,5e+24,0.083922613
200,45,500,1e+25,0.662907954
200,46,300,5e+23,0.016519709
200,46,300,1e+24,0.028995187
200,46,300,5e+24,0.231192765
200,46,300,1e+25,0.396033692
200,46,400,5e+23,0.017161926
200,46,400,1e+24,0.023013039
200,46,400,5e+24,0.252555818
200,46,400,1e+25,0.867280717
200,46,500,5e+23,0.018616622
200,46,500,1e+24,0.026325149
200,46,500,5e+24,0.16156915
200,46,500,1e+25,0.686348407
200,47,300,5e+23,0.019107837
200,47,300,1e+24,0.028041127
200,47,300,5e+24,0.333390477
200,47,300,1e+25,0.91600115
200,47,400,5e+23,0.015699542
200,47,400,1e+24,0.030922062
200,47,400,5e+24,0.30650287
200,47,400,1e+25,0.849039908
200,47,500,5e+23,0.019850271
200,47,500,1e+24,0.028740229
200,47,500,5e+24,0.219470485
200,47,500,1e+25,0.866460435
200,48,300,5e+23,0.014875468
200,48,300,1e+24,0.032321869
200,48,300,5e+24,0.232137268
200,48,300,1e+25,0.99563611
