Wo,Vds,Temp,Intervalley,Nd,Mod index
200.0,13.0,500.0,9.0e+11,1e+24,0.013032633221796444
200.0,13.0,500.0,9.0e+11,1e+25,0.016007144936147178
200.0,13.0,500.0,9.0e+11,5e+23,0.012502080686206464
200.0,13.0,500.0,9.0e+11,5e+24,0.014976735300026
200.0,14.0,300.0,9.0e+11,1e+24,0.007898982877975726
200.0,14.0,300.0,9.0e+11,1e+25,0.011307214019617526
200.0,14.0,300.0,9.0e+11,5e+23,0.009374351311001011
200.0,14.0,300.0,9.0e+11,5e+24,0.01004954931375656
200.0,14.0,400.0,9.0e+11,1e+24,0.009748809105094309
200.0,14.0,400.0,9.0e+11,1e+25,0.012704395762353311
200.0,14.0,400.0,9.0e+11,5e+23,0.007787451603754418
200.0,14.0,400.0,9.0e+11,5e+24,0.011325372207151444
200.0,14.0,500.0,9.0e+11,1e+24,0.010863400682468776
200.0,14.0,500.0,9.0e+11,1e+25,0.015376660497246925
200.0,14.0,500.0,9.0e+11,5e+23,0.011510431640886389
200.0,14.0,500.0,9.0e+11,5e+24,0.013072400370370812
200.0,15.0,300.0,9.0e+11,1e+24,0.008348151672634217
200.0,15.0,300.0,9.0e+11,1e+25,0.010414873857149225
200.0,15.0,300.0,9.0e+11,5e+23,0.007506889803975023
200.0,15.0,300.0,9.0e+11,5e+24,0.01129443592181972
200.0,15.0,400.0,9.0e+11,1e+24,0.009499693534262688
200.0,15.0,400.0,9.0e+11,1e+25,0.011941607833412396
200.0,15.0,400.0,9.0e+11,5e+23,0.009342909624493585
200.0,15.0,400.0,9.0e+11,5e+24,0.015076171279985675
200.0,15.0,500.0,9.0e+11,1e+24,0.010416504265358053
200.0,15.0,500.0,9.0e+11,1e+25,0.014033435512204161
200.0,15.0,500.0,9.0e+11,5e+23,0.012268734283879468
200.0,15.0,500.0,9.0e+11,5e+24,0.013907875407160321
200.0,16.0,300.0,9.0e+11,1e+24,0.007986537188250422
200.0,16.0,300.0,9.0e+11,1e+25,0.009417655922434263
200.0,16.0,300.0,9.0e+11,5e+23,0.008676528701514023
200.0,16.0,300.0,9.0e+11,5e+24,0.00873296046223161
200.0,16.0,400.0,9.0e+11,1e+24,0.008891454986992283
200.0,16.0,400.0,9.0e+11,1e+25,0.013061524298258657
200.0,16.0,400.0,9.0e+11,5e+23,0.008017036853510578
200.0,16.0,400.0,9.0e+11,5e+24,0.009181619249834256
200.0,16.0,500.0,9.0e+11,1e+24,0.009857336743233082
200.0,16.0,500.0,9.0e+11,1e+25,0.013184107723062352
200.0,16.0,500.0,9.0e+11,5e+23,0.011437050359151114
200.0,16.0,500.0,9.0e+11,5e+24,0.014011145910013048
200.0,17.0,300.0,9.0e+11,1e+24,0.006365045528632595
200.0,17.0,300.0,9.0e+11,1e+25,0.00977726687114264
200.0,17.0,300.0,9.0e+11,5e+23,0.007477980483497617
200.0,17.0,300.0,9.0e+11,5e+24,0.009039336620811269
200.0,17.0,400.0,9.0e+11,1e+24,0.008617364190986241
200.0,17.0,400.0,9.0e+11,1e+25,0.010447197713466546
200.0,17.0,400.0,9.0e+11,5e+23,0.007985921015409611
200.0,17.0,400.0,9.0e+11,5e+24,0.010799668833437689
200.0,17.0,500.0,9.0e+11,1e+24,0.009727657564793202
200.0,17.0,500.0,9.0e+11,1e+25,0.01284552226730431
200.0,17.0,500.0,9.0e+11,5e+23,0.00935074488250912
200.0,17.0,500.0,9.0e+11,5e+24,0.010909250147347982
200.0,18.0,300.0,9.0e+11,1e+24,0.007514137756594085
200.0,18.0,300.0,9.0e+11,1e+25,0.009814579657783018
200.0,18.0,300.0,9.0e+11,5e+23,0.0059628775002223645
200.0,18.0,300.0,9.0e+11,5e+24,0.01136996073114842
200.0,18.0,400.0,9.0e+11,1e+24,0.007998229518925194
200.0,18.0,400.0,9.0e+11,1e+25,0.011501880235012583
200.0,18.0,400.0,9.0e+11,5e+23,0.008552456747104427
200.0,18.0,400.0,9.0e+11,5e+24,0.0100216200914992
200.0,18.0,500.0,9.0e+11,1e+24,0.009167367586567788
200.0,18.0,500.0,9.0e+11,1e+25,0.011450581526592176
200.0,18.0,500.0,9.0e+11,5e+23,0.00946298385341635
200.0,18.0,500.0,9.0e+11,5e+24,0.012097846128454959
200.0,19.0,300.0,9.0e+11,1e+24,0.006266446306419182
200.0,19.0,300.0,9.0e+11,1e+25,0.011352068279161277
200.0,19.0,300.0,9.0e+11,5e+23,0.006667535745306283
200.0,19.0,300.0,9.0e+11,5e+24,0.008806118465074187
200.0,19.0,400.0,9.0e+11,1e+24,0.007705475269060963
200.0,19.0,400.0,9.0e+11,1e+25,0.00982584299293761
200.0,19.0,400.0,9.0e+11,5e+23,0.00794885114390758
200.0,19.0,400.0,9.0e+11,5e+24,0.008124890939474397
200.0,19.0,500.0,9.0e+11,1e+24,0.008700207779806974
200.0,19.0,500.0,9.0e+11,1e+25,0.012514315436458194
200.0,19.0,500.0,9.0e+11,5e+23,0.009883963322592915
200.0,19.0,500.0,9.0e+11,5e+24,0.011825191579722278
200.0,20.0,300.0,9.0e+11,1e+24,0.006896626552050319
200.0,20.0,300.0,9.0e+11,1e+25,0.01058688659311691
200.0,20.0,300.0,9.0e+11,5e+23,0.006705320457358082
200.0,20.0,300.0,9.0e+11,5e+24,0.007348176246829048
200.0,20.0,400.0,9.0e+11,1e+24,0.008270552154841406
